Players
JP Behrendorff
JP Duminy
JP Faulkner
JPR Scantlebury-Searles
JR Hazlewood
JR Hopes
JR Philippe
JW Hastings
K Goel
K Gowtham
K Khejroliya
K Rabada
K Santokie
K Upadhyay
KA Jamieson
KA Pollard
KAJ Roach
Kamran Akmal
Kamran Khan
Karanveer Singh
Kartik Tyagi
KB Arun Karthik
KC Cariappa
KC Sangakkara
KD Karthik
KH Pandya
KJ Abbott
KK Ahmed
KK Cooper
KK Nair
KL Nagarkoti
KL Rahul
KM Asif
KM Jadhav
KMA Paul
KMDN Kulasekara
KP Appanna
KP Pietersen
KS Williamson
Kuldeep Yadav
KV Sharma
KW Richardson
L Ablish
L Balaji
L Ngidi
L Ronchi
LA Carseldine
LA Pomersbach
LE Plunkett
LH Ferguson
LJ Wright
LMP Simmons
LPC Silva
LR Shukla
LRPL Taylor
LS Livingstone
M Ashwin
M de Lange
M Jansen
M Kaif
M Kartik
M Klinger
M Manhas
M Markande
M Morkel
M Muralitharan
M Ntini
M Prasidh Krishna
M Rawat
M Vijay
M Vohra
MA Agarwal
MA Khote
MA Starc
MA Wood
Mandeep Singh
Mashrafe Mortaza
MB Parmar
MC Henriques
MC Juneja
MD Mishra
MDKJ Perera
MEK Hussey
MF Maharoof
MG Johnson
MG Neser
Misbah-ul-Haq
MJ Clarke
MJ Guptill
MJ Henry
MJ Lumb
MJ McClenaghan
MJ Santner
MK Lomror
MK Pandey
MK Tiwary
ML Hayden
MM Ali
MM Patel
MM Sharma
MN Samuels
MN van Wyk
Mohammad Ashraful
Mohammad Asif
Mohammad Hafeez
Mohammad Nabi
Mohammed Shami
Mohammed Siraj
Monu Kumar
MP Stoinis
MR Marsh
MS Bisla
MS Dhoni
MS Gony
MS Wade
Mujeeb Ur Rahman
Mustafizur Rahman
MV Boucher
N Jagadeesan
N Pooran
N Rana
N Saini
NA Saini
NB Singh
ND Doshi
Niraj Patel
NJ Maddinson
NJ Rimmington
NL McCullum
NLTC Perera
NM Coulter-Nile
NS Naik
NV Ojha
O Thomas
OA Shah
P Amarnath
P Awana
P Chopra
P Dogra
P Dubey
P Kumar
P Negi
P Parameswaran
P Prasanth
P Ray Barman
P Sahu
P Simran Singh
P Suyal
PA Patel
PA Reddy
Pankaj Singh
Parvez Rasool
PC Valthaty
PD Collingwood
PJ Cummins
PJ Sangwan
PK Garg
Players
PM Sarvesh Kumar
PP Chawla
PP Ojha
PP Shaw
PR Shah
PSP Handscomb
PV Tambe
Q de Kock
R Ashwin
R Bhatia
R Bishnoi
R Dhawan
R Dravid
R McLaren
R Ninan
R Parag
R Rampaul
R Sathish
R Sharma
R Shukla
R Tewatia
R Vinay Kumar
RA Jadeja
RA Shaikh
RA Tripathi
Rashid Khan
Rasikh Salam
Ravi Bishnoi
RD Chahar
RD Gaikwad
RE Levi
RE van der Merwe
RG More
RG Sharma
RJ Harris
RJ Peterson
RJ Quiney
RK Bhui
RK Singh
RM Patidar
RN ten Doeschate
RP Singh
RR Bhatkal
RR Bose
RR Pant
RR Powar
RR Raje
RR Rossouw
RR Sarwan
RS Bopara
RS Gavaskar
RS Sodhi
RT Ponting
RV Gomez
RV Uthappa
RW Price
S Anirudha
S Aravind
S Badree
S Badrinath
S Chanderpaul
S Dhawan
S Dube
S Gopal
S Kaul
S Kaushik
S Ladda
S Lamichhane
S Midhun
S Nadeem
S Narwal
S Rana
S Randiv
S Sandeep Warrier
S Sohal
S Sreesanth
S Sriram
S Tyagi
S Vidyut
SA Abbott
SA Asnodkar
SA Yadav
Sachin Baby
Salman Butt
Sandeep Sharma
SB Bangar
SB Jakati
SB Joshi
SB Styris
SB Wagh
SC Ganguly
SC Kuggeleijn
SD Chitnis
SD Lad
SE Bond
SE Marsh
SE Rutherford
Shahbaz Ahmed
Shahid Afridi
Shakib Al Hasan
Shivam Mavi
Shivam Sharma
Shoaib Ahmed
Shoaib Akhtar
Shoaib Malik
Shubman Gill
SJ Srivastava
SK Raina
SK Trivedi
SK Warne
SL Malinga
SM Boland
SM Curran
SM Harwood
SM Katich
SM Pollock
SMSM Senanayake
SN Khan
SN Thakur
SO Hetmyer
Sohail Tanvir
SP Fleming
SP Goswami
SP Jackson
SP Narine
SPD Smith
SR Tendulkar
SR Watson
SS Agarwal
SS Cottrell
SS Iyer
SS Mundhe
SS Sarkar
SS Shaikh
SS Tiwary
ST Jayasuriya
STR Binny
Sunny Gupta
Sunny Singh
SV Samson
SW Billings
SW Tait
Swapnil Singh
T Banton
T Henderson
T Kohli
T Natarajan
T Shamsi
T Taibu
T Thushara
TA Boult
TD Paine
Tejas Baroka
TG Southee
TK Curran
TL Suman
TM Dilshan
TM Head
TM Srivastava
TP Sudhindra
TR Birt
TS Mills
TU Deshpande
U Kaul
UA Birla
UBT Chand
Umar Gul
UT Khawaja
UT Yadav
V Kohli
V Pratap Singh
V Sehwag
V Shankar
VH Zol
Vishnu Vinod
VR Aaron
VRV Singh
VS Malik
VS Yeligati
VVS Laxman
VY Mahesh
W Jaffer
WA Mota
Washington Sundar
WD Parnell
WP Saha
WPUJC Vaas
X Thalaivan Sargunam
Y Gnaneswara Rao
Y Nagar
Y Prithvi Raj
Y Venugopal Rao
YA Abdulla
Yashpal Singh
YBK Jaiswal
YK Pathan
Younis Khan
YS Chahal
Yuvraj Singh
YV Takawale
Z Khan
